WIP,TRANS
32696792,31707990
33185720,11475156
33776677,24309768
24662983,30992736
26127114,41301434
37299045,21841173
28143925,30232351
29551050,23146176
41944684,24044196
30992736,32696792
23146176,22316060
27136366,29551050
32343625,32331810
29668923,31303960
22316060,29668923
11475156,27136366
31964188,37299045
37079339,24695294
24695294,26127114
32331810,35377764
39357985,36827146
24044196,37079339
41597312,24662983
37411629,33621786
30826638,31964188
24645783,
36827146,
27667324,
36300233,
31303960,
33621786,
21841173,
31707990,
42286627,
41301434,
24309768,
35106572,